6	Other instruments
10	Piano
11	Guitar
12	Tiqin
13	Saxophone
14	Guzheng
15	Erhu
16	Pipa
17	Harmonica
18	Harp
19	Accordion
20	Jazz drum
21	Drum
22	Brass instruments
23	Huangguanlei
24	National play
25	Many musical instruments

 Piano                     钢琴         
 Guitar                    吉他         
 Tiqin                     提琴         
 Saxophone                 萨克斯       
 Guzheng                   古筝         
 Erhu                      二胡         
 Pipa                      琵琶         
 Harmonica                 口琴         
 Harp                     竖琴         
 Accordion                 手风琴       
 Jazz drum                 爵士鼓       
 Drum                      鼓类         
 Brass instruments         铜管乐器     
 Huangguanlei              簧管类       
 National play            民族吹奏     
 Other instruments         其他乐器     
 Non musical instrument    非乐器       
 Many musical instruments  多乐器       
