7	Other instruments
8	Piano
9	Guitar
10	Tiqin
11	Saxophone
12	Guzheng
13	Erhu
14	Pipa
15	Harmonica
16	Harp
17	Accordion
18	Jazz drum
19	Drum
20	Brass instruments
21	Huangguanlei
22	National play
7	Many musical instruments

 Piano                     钢琴         
 Guitar                    吉他         
 Tiqin                     提琴         
 Saxophone                 萨克斯       
 Guzheng                   古筝         
 Erhu                      二胡         
 Pipa                      琵琶         
 Harmonica                 口琴         
 Harp                     竖琴         
 Accordion                 手风琴       
 Jazz drum                 爵士鼓       
 Drum                      鼓类         
 Brass instruments         铜管乐器     
 Huangguanlei              簧管类       
 National play            民族吹奏     
 Other instruments         其他乐器     
 Non musical instrument    非乐器       
 Many musical instruments  多乐器       
